enzyme,sv_type,tag_count,mash,adj_jaccard,breakpoints,kendall_tau
BcgI,control,2877,-0.0000,1.0000,0,1.0000
BcgI,inversion_500kb,2877,0.0000,0.7977,646,1.0000
BcgI,translocation_500kb,2877,0.0000,0.9972,8,0.8159
BcgI,insertion_10kb,2880,0.0001,0.9983,5,1.0000
BcgI,deletion_10kb,2874,0.0000,0.9983,5,0.9982
AlfI,control,1939,-0.0000,1.0000,0,1.0000
AlfI,inversion_500kb,1939,0.0000,0.7775,484,0.9974
AlfI,translocation_500kb,1939,0.0000,0.9959,8,0.8210
AlfI,insertion_10kb,1941,0.0001,0.9979,4,1.0000
AlfI,deletion_10kb,1939,0.0000,1.0000,0,1.0000
BplI,control,383,-0.0000,1.0000,0,1.0000
BplI,inversion_500kb,383,0.0000,0.8454,64,0.9891
BplI,translocation_500kb,383,0.0000,0.9793,8,0.8571
BplI,insertion_10kb,384,0.0001,0.9922,3,1.0000
BplI,deletion_10kb,383,0.0000,1.0000,0,1.0000
CjePI,control,9284,-0.0000,1.0000,0,1.0000
CjePI,inversion_500kb,9316,0.0000,0.8034,2018,0.9967
CjePI,translocation_500kb,9284,0.0000,0.9991,8,0.8304
CjePI,insertion_10kb,9305,0.0001,0.9975,23,1.0000
CjePI,deletion_10kb,9264,0.0000,0.9976,22,0.9995
All_4,control,14483,-0.0000,1.0000,0,1.0000
All_4,inversion_500kb,14515,0.0000,0.8004,3201,0.9972
All_4,translocation_500kb,14483,0.0000,0.9994,8,0.8269
All_4,insertion_10kb,14510,0.0001,0.9980,29,1.0000
All_4,deletion_10kb,14460,0.0000,0.9983,25,0.9993
