pairid	anim_ani	inv_events	syn2b_junctions	dnadiff_inverted_fraction	syn2b_inv	max_contigs	phylum	species_pair	dataset
GCA_012275145.1__GCF_018310535.1	97.11	129.0	108.0	0.9825640031985484	0.99323	2	Actinobacteriota	Streptomyces sp002846625 vs Streptomyces sp002846625	high_ani
GCF_007829715.1__GCF_011405175.1	97.3	90.0	40.0	0.5070381786945467	0.53446	3	Firmicutes	Geobacillus icigianus vs Geobacillus icigianus	high_ani
GCF_002057455.1__GCF_012034275.1	97.16	82.0	66.0	0.5931419832554765	0.59195	187	Actinobacteriota	Nonomuraea parvosata vs Nonomuraea parvosata	high_ani
GCF_016697365.1__GCF_910574985.1	98.08	60.0	64.0	0.1640457909556708	0.13016	45	Firmicutes_A	Acutalibacter muris vs Acutalibacter muris	high_ani
GCF_013390305.1__GCF_018130485.1	98.54	56.0	31.0	0.5955672546341632	0.59224	496	Proteobacteria	Bradyrhizobium diazoefficiens vs Bradyrhizobium diazoefficiens	high_ani
GCA_900103895.1__GCA_900105365.1	98.68	52.0	109.0	0.0371109890508122	0.02047	4	Proteobacteria	GAS188 sp900104855 vs GAS188 sp900104855	high_ani
GCF_000334435.1__GCF_002003305.1	98.32	52.0	14.0	0.9930999549355256	0.99819	210	Firmicutes_A	Clostridium saccharoperbutylacetonicum vs Clostridium saccharoperbutylacetonicum	high_ani
GCA_017948655.1__GCF_003596305.1	97.22	51.0	47.0	0.5954994962548928	0.5881	131	Proteobacteria	Pseudaminobacter sp900116595 vs Pseudaminobacter sp900116595	high_ani
GCA_009811615.2__GCF_009811575.1	97.84	50.0	42.0	0.1160724336555871	0.10759	2	Actinobacteriota	Streptomyces platensis vs Streptomyces platensis	high_ani
GCF_001746215.1__GCF_003054835.1	97.57	48.0	41.0	0.5014398769891051	0.52091	178	Spirochaetota	Brachyspira hampsonii_C vs Brachyspira hampsonii_C	high_ani
GCF_002803195.1__GCF_003721495.1	97.02	47.0	39.0	0.5836605086972757	0.56482	51	Actinobacteriota	Streptomyces goshikiensis vs Streptomyces goshikiensis	high_ani
GCF_000804525.1__GCF_000964665.1	99.82	46.0	70.0	0.4822581680730355	0.47769	22	Proteobacteria	Rickettsia felis vs Rickettsia felis	high_ani
GCF_002003305.1__GCF_013297125.1	98.32	46.0	13.0	0.9977125746355108	0.99964	2	Firmicutes_A	Clostridium saccharoperbutylacetonicum vs Clostridium saccharoperbutylacetonicum	high_ani
GCF_002003305.1__GCF_013294445.1	98.32	46.0	13.0	0.997720656030948	0.99964	3	Firmicutes_A	Clostridium saccharoperbutylacetonicum vs Clostridium saccharoperbutylacetonicum	high_ani
GCF_018495055.1__GCF_900036045.1	97.86	46.0	34.0	0.6419130119757327	0.61535	9	Halobacteriota	Methanoculleus bourgensis vs Methanoculleus bourgensis	high_ani
