pairid	anim_ani	dnadiff_inverted_fraction	syn2b_inv	syn2b_junctions	dd_inversions_ref	dd_inversions_qry	dd_breakpoints_ref	dd_breakpoints_qry	q_contigs	r_contigs	max_contigs	phylum	species_pair	dataset	inv_events
GCF_006715835.1__GCF_013408335.1	89.97	0.0841832369449683	0.08774	28.0	66.0	64.0	2718.0	2718.0	1	3	3	Actinobacteriota	Nocardioides sp006715835 vs Nocardioides panzhihuensis	held_out	66.0
GCA_902544135.1__GCA_902541315.1	91.79	0.5877204150896321	0.62857	0.0	0.0	0.0	152.0	178.0	22	35	35	Proteobacteria	Pelagibacter sp902544135 vs Pelagibacter sp902541315	held_out	0.0
GCA_900548775.1__GCA_902773995.1	90.67	0.5016937322921705	0.51829	3.0	0.0	0.0	1064.0	1078.0	98	96	98	Actinobacteriota	Tractidigestivibacter sp900548775 vs Tractidigestivibacter sp902773995	held_out	0.0
GCF_000220565.1__GCA_018222585.1	90.59	0.5147304183765592	0.5422	11.0	1.0	2.0	2095.0	1854.0	339	64	339	Proteobacteria	Pseudooceanicola sp000220565 vs Pseudooceanicola sp018222585	held_out	2.0
GCA_004211905.1__GCA_002685195.1	92.64	0.4037283585886038	0.42071	0.0	0.0	0.0	242.0	270.0	38	77	77	Proteobacteria	HTCC2207 sp004211905 vs HTCC2207 sp002685195	held_out	0.0
GCF_008011665.1__GCF_008245025.1	84.45	0.6612163706537727	0.70588	0.0	0.0	2.0	570.0	561.0	36	1	36	Campylobacterota	Campylobacter_D volucris_A vs Campylobacter_D concheus	held_out	2.0
GCF_002741105.1__GCF_900115695.1	91.17	0.3045570945009098	0.30898	11.0	5.0	4.0	1672.0	1659.0	19	42	42	Proteobacteria	Pseudomonas_E sediminis vs Pseudomonas_E toyotomiensis	held_out	5.0
GCF_003425685.1__GCF_017877055.1	85.66	0.449510309640003	0.44886	44.0	19.0	32.0	2783.0	2774.0	79	12	79	Proteobacteria	Neorhizobium sp003425685 vs Neorhizobium galegae_D	held_out	32.0
GCF_003054165.1__GCA_019192965.1	86.32	0.4942203011776671	0.49677	15.0	14.0	13.0	2566.0	2560.0	37	41	41	Actinobacteriota	Nocardioides sp003054165 vs Nocardioides daeguensis	held_out	14.0
GCF_002243645.1__GCF_001645685.2	86.09	0.9907307510545568	0.99248	6.0	30.0	25.0	1878.0	1882.0	1	2	2	Firmicutes	Peribacillus simplex vs Peribacillus muralis_A	held_out	30.0
GCA_004293365.1__GCA_013299165.1	89.73	0.5132378092700235	0.5085	74.0	23.0	48.0	8840.0	8808.0	242	80	242	Cyanobacteria	Microcoleus sp004293365 vs Microcoleus sp013299165	held_out	48.0
GCF_000425985.1__GCF_000455825.1	88.15	0.5668526513194723	0.54417	2.0	2.0	0.0	1260.0	1478.0	23	260	260	Actinobacteriota	Microbacterium sp000425985 vs Microbacterium maritypicum_A	held_out	2.0
GCF_003031675.1__GCF_001647715.1	88.24	0.4984466066470958	0.42012	15.0	0.0	25.0	2440.0	2352.0	91	3	91	Proteobacteria	Pseudomonas_E palleroniana vs Pseudomonas_E antarctica_A	held_out	25.0
GCF_002549775.1__GCA_003449675.1	87.37	0.4698178706689369	0.44509	25.0	39.0	13.0	1381.0	1498.0	79	197	197	Firmicutes_A	Faecalibacterium prausnitzii_F vs Faecalibacterium sp003449675	held_out	39.0
GCA_003209755.1__GCA_003280445.1	89.89	0.3305649864907683	0.3578	0.0	3.0	4.0	314.0	340.0	52	64	64	Cyanobacteria	Prochlorococcus_B sp003209755 vs Prochlorococcus_B sp003280445	held_out	4.0
