collection	genome_A	genome_B	ani	junctions	shared_tags	raw_inverted_fraction
mycobacterium_tuberculosis	CP200025.1	OZ407451.1	99.91	0.0	7296.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ407528.1	99.85	0.0	7153.0	0.0
mycobacterium_tuberculosis	CP200025.1	CP200024.1	99.95	0.0	7403.0	0.0
mycobacterium_tuberculosis	CP200025.1	CP200026.1	99.97	0.0	7431.0	0.0
mycobacterium_tuberculosis	CP200025.1	CP200027.1	99.94	0.0	7382.0	0.0
mycobacterium_tuberculosis	CP200025.1	AP046124.1	99.86	0.0	7228.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347302.1	99.92	0.0	7376.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347310.1	99.93	0.0	7383.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347307.1	99.93	0.0	7383.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347304.1	99.88	0.0	7334.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347311.1	99.92	0.0	7374.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347315.1	99.9	0.0	7318.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347323.1	99.94	0.0	7400.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347318.1	99.95	0.0	7343.0	1.0
mycobacterium_tuberculosis	CP200025.1	OZ347319.1	99.92	0.0	7378.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ347327.1	99.92	0.0	7355.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ407527.1	99.92	0.0	7350.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ416141.1	99.97	0.0	7428.0	0.0
mycobacterium_tuberculosis	CP200025.1	OZ416142.1	99.89	2.0	7322.0	0.47938
mycobacterium_tuberculosis	OZ407451.1	OZ407528.1	99.77	0.0	7041.0	0.0
mycobacterium_tuberculosis	OZ407451.1	CP200024.1	99.93	0.0	7355.0	0.0
mycobacterium_tuberculosis	OZ407451.1	CP200026.1	99.92	0.0	7311.0	0.0
mycobacterium_tuberculosis	OZ407451.1	CP200027.1	99.88	0.0	7288.0	0.0
mycobacterium_tuberculosis	OZ407451.1	AP046124.1	99.78	0.0	7140.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347302.1	99.87	0.0	7292.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347310.1	99.89	0.0	7299.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347307.1	99.89	0.0	7299.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347304.1	99.83	0.0	7243.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347311.1	99.87	0.0	7290.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347315.1	99.84	0.0	7228.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347323.1	99.88	0.0	7269.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347318.1	99.9	0.0	7211.0	1.0
mycobacterium_tuberculosis	OZ407451.1	OZ347319.1	99.87	0.0	7262.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ347327.1	99.86	0.0	7272.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ407527.1	99.92	0.0	7314.0	0.00027
mycobacterium_tuberculosis	OZ407451.1	OZ416141.1	99.92	0.0	7305.0	0.0
mycobacterium_tuberculosis	OZ407451.1	OZ416142.1	99.87	2.0	7270.0	0.47854
mycobacterium_tuberculosis	OZ407528.1	CP200024.1	99.84	0.0	7139.0	0.0
mycobacterium_tuberculosis	OZ407528.1	CP200026.1	99.86	0.0	7166.0	0.0
mycobacterium_tuberculosis	OZ407528.1	CP200027.1	99.8	0.0	7122.0	0.0
mycobacterium_tuberculosis	OZ407528.1	AP046124.1	99.72	0.0	6973.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347302.1	99.78	0.0	7111.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347310.1	99.83	0.0	7119.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347307.1	99.8	0.0	7118.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347304.1	99.77	0.0	7074.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347311.1	99.78	0.0	7110.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347315.1	99.77	0.0	7056.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347323.1	99.8	0.0	7122.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347318.1	99.83	0.0	7069.0	1.0
mycobacterium_tuberculosis	OZ407528.1	OZ347319.1	99.78	0.0	7114.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ347327.1	99.78	0.0	7090.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ407527.1	99.78	0.0	7090.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ416141.1	99.86	0.0	7162.0	0.0
mycobacterium_tuberculosis	OZ407528.1	OZ416142.1	99.77	2.0	7060.0	0.48031
mycobacterium_tuberculosis	CP200024.1	CP200026.1	99.97	0.0	7418.0	0.0
mycobacterium_tuberculosis	CP200024.1	CP200027.1	99.94	0.0	7399.0	0.0
mycobacterium_tuberculosis	CP200024.1	AP046124.1	99.86	0.0	7244.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347302.1	99.92	0.0	7403.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347310.1	99.94	0.0	7410.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347307.1	99.94	0.0	7410.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347304.1	99.88	0.0	7351.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347311.1	99.92	0.0	7401.0	0.0
